DateTime,TweetId,Text,Username,Displayname,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-06-24 15:33:51+00:00,1672629113033486336,"The IRS whistleblowers' allegations are as close to direct evidence of bribery &amp; extortion as I've ever seen.

This WhatsApp looks like evidence of Joe Biden abusing his power to enrich his son—and assuming 10% for the big guy—also himself. 
https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,,511,240,1037,24
2023-06-24 12:36:09+00:00,1672584394962337794,"One year ago today, millions of Americans who value the sanctity of life rejoiced after the Supreme Court rightfully returned the power to make abortion laws to the states. 

Tens of thousands of precious lives have been saved as a result of this historic decision—a number that will continue to grow exponentially in the years to come. 

I am forever grateful for the passion & dedication of the countless advocates who fought for decades to protect the lives of the unborn.",tedcruz,Ted Cruz,en,,1245,335,3019,72
2023-06-24 00:56:18+00:00,1672408270676414465,"If there were a single Democrat who gave a damn about the rule of law, we would have a hearing right now with Merrick Garland in front of the Senate Judiciary Committee under oath, asking about the allegations against Hunter &amp; Joe Biden. #Verdict https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],772,512,2202,38
2023-06-23 22:07:51+00:00,1672365878480969737,"The current delusion of the left is that they've embraced an ideology that says there's no difference between women &amp; men. 

Don't miss @benfergusonshow &amp; I discuss the fight to protect women's sports on the latest episode of #Verdict! 
https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],145,52,324,8
2023-06-23 20:39:03+00:00,1672343534240772097,"At this point, my level of trust in what the Biden administration says is abysmally low. 

They've demonstrated over &amp; over again that they're willing to say things that are false. 

Arm yourself with the facts on the latest episode of #Verdict! https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],280,69,494,6
2023-06-23 20:15:40+00:00,1672337648898154584,😬,tedcruz,Ted Cruz,art,,181,307,1671,5
2023-06-23 19:15:16+00:00,1672322447431827456,"Even worse, Garland &amp; Hunter both refused to eat the WH meal, and ordered $6m in Chinese food instead…",tedcruz,Ted Cruz,en,,800,1246,5653,42
2023-06-23 19:02:38+00:00,1672319270473048082,"This air of righteous indignation from Merrick Garland is rich. 

In the face of such serious allegations regarding the Hunter Biden investigation, his response here is stunning.",tedcruz,Ted Cruz,en,,2995,2078,8007,199
2023-06-23 18:06:10+00:00,1672305058866667524,"The IRS whistleblowers have elevated the gravity of the allegations against Joe Biden by an order of magnitude.

Learn more on the latest episode of #Verdict, available now wherever you get your podcasts! https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],161,100,457,10
2023-06-23 17:27:18+00:00,1672295279314255887,"It wasn’t that long ago, that EVERYBODY understood that men &amp; women are different. 

WATCH this. 👇

Compare it to today’s Dems who see ZERO problem with men playing in women’s sports.",tedcruz,Ted Cruz,en,,228,502,2162,19
2023-06-23 17:16:40+00:00,1672292599779012608,chilling,tedcruz,Ted Cruz,en,,203,715,2275,22
2023-06-23 15:46:15+00:00,1672269848125100035,"The stunning allegations against Hunter &amp; Joe Biden aren't coming from partisan Republicans. 

They're coming from career, senior IRS officials &amp; investigators blowing the whistle because they're absolutely appalled at what happened. #Verdict https://t.co/O1lXqhwNvZ",tedcruz,Ted Cruz,en,['Verdict'],352,384,1310,18
2023-06-23 14:04:30+00:00,1672244243065184256,"TUNE IN: Smoking-Gun Evidence of Biden Corruption, plus Leftists Try to Destroy Women's Sports 

New episode of #Verdict is live now wherever you get your podcasts! 
https://t.co/X8HfWbrfax",tedcruz,Ted Cruz,en,['Verdict'],119,64,331,6
2023-06-23 01:19:33+00:00,1672051734925942784,Cruz is right to introduce bill making CDC director a Senate-approved position sooner | Washington Examiner https://t.co/NgAFJQPMWQ,tedcruz,Ted Cruz,en,,186,153,983,6
2023-06-23 00:03:18+00:00,1672032545939116033,"Excellent choice! @Heritage 

@VictoriaCoates is fantastic. 

Simply the best.",tedcruz,Ted Cruz,en,,33,30,202,1
2023-06-22 22:40:07+00:00,1672011611740020736,"Each day we learn more about the shocking abuses of power the DOJ carried out as part of its mission to ensure Joe Biden is protected from the increasing allegations of corruption he faces.

Each detail is more disturbing than the last, &amp; Dems &amp; their media pals remain silent.",tedcruz,Ted Cruz,en,,1140,2094,6089,70
2023-06-22 20:51:34+00:00,1671984292770054146,"If you want to know what was happening with Hunter &amp; Joe Biden, be sure to download &amp; listen to the latest episode of #Verdict! 

You won't get the truth on the six o'clock news or corporate media channels like CNN or MSNBC. 

https://t.co/TnryRfBLaC",tedcruz,Ted Cruz,en,['Verdict'],146,94,420,7
