DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Sentiment,Value
2023-06-13 22:19:00+00:00,1668744807504662529,"Today’s report is good news for hard-working families. It shows continued progress tackling inflation at the same time that unemployment remains at historic lows. 

Annual inflation is now at the lowest level since March 2021, and less than half of what it was last June.",JoeBiden,en,,1508,905,4301,86,uncertain,0.5305555555555556
2023-06-13 15:03:06+00:00,1668635108117495809,No one. https://t.co/hulL00YOxH,JoeBiden,en,,14389,3641,20189,752,uncertain,0.5
2023-06-11 21:15:00+00:00,1668003926799446016,"Thanks to my Investing in America Agenda, we’re mobilizing historic levels of investments across the United States.

Go to https://t.co/DOLVZklLiD to see where these investments are happening near you.",JoeBiden,en,,2450,1125,5478,97,positive,0.55
