DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Sentiment,Value
2021-12-23 18:20:01+00:00,1474082380851855368,"My Bipartisan Infrastructure Law includes the largest investment of public transit ever and will replace diesel buses with electric ones. This will get more people where they are going safer, faster, and cleaner for the environment. It’s a win, win, win.",JoeBiden,en,,1071,1849,11314,120,positive,0.6581079959869385
2020-04-30 14:14:53+00:00,1255863198156304385,"The climate emergency isn't just a threat to our environment, it's a threat to our health, economy, and so much more. We have to get Donald Trump out of the White House and take action to combat it before it's too late.",JoeBiden,en,,1430,4188,17558,211,uncertain,0.4025188982486725
2019-09-28 19:47:00+00:00,1178033384041304064,"It is long past time to address the devastating effects of climate change. As president, I will take action against those who knowingly harm our environment. https://t.co/6BHbmlVB37",JoeBiden,en,,440,662,3752,53,uncertain,0.4101041257381439
2019-09-18 17:18:41+00:00,1174372182463582208,"We need a president who believes in science over fiction. As president, I will fight for rigorous fuel economy standards that protect our health, our environment, and our economy.",JoeBiden,en,,144,285,2186,16,negative,0.3974703252315521
2019-09-13 01:41:16+00:00,1172324333244444672,"If we don't write the rules to protect American labor and the environment, China will—and not in a way that advances our values. When it comes to trade, we've got to work with allies—not against them. #DemDebate",JoeBiden,en,['DemDebate'],65,226,1058,14,negative,0.21525919437408447
